,Institution,Address,Location
1, ,POSTAL ADDRESS,LOCATION
2,Africa Digital Media,"P.O. Box 35447- 00100, Nairobi",Nairobi
3,African Institute of,"P.O. Box 3790- 30100, Eldoret",Eldoret
4,Ahmed Shahame Mwindani,"P.O. Box 93800- 102, Changamwe",Mombasa
5, ,"P.O Box 149- 30305,Kobujoi",Nandi
6, ,"P.O. Box 299- 30400 ,Kabarnet",Baringo
7,Bondo Technical Training,"P. O. Box 377- 40601, Bondo",Siaya
8, ,"P.O. Box 9- 40506,Kebirigo",Kebirigo
9, ,"P.O. Box 23- 50105,Bukura",Bukura
10,Bumbe Technical Training,"P.O. Box 70, Sio Port, Busia",Busia
11, ,"P.O. Box 104- 50140, Port Victoria",Port Victoria
12,Bureti Technical Training,"P.O. Box 444- 20406, Sotik",Bomet
13,Bushiangala Technical,"P.O. Box 2227 – 50100, Kakamega","Kakamega,"
14,Butere Technical Training,"P. O. Box 90- 50101,Butere",Butere
15,Chuka Technical Training,"P.O. Box 753- 60400, Chuka",Chuka
16,Coast Institute of,"P.O. Box 34- 80300, Voi",Voi
17,David M.Wambuli Technical and Vocational College,"P.O. Box 2674- 90100, Machakos",Machakos
18, ,P.O. Box 30689- 00100,Nairobi
19, ,"P.O. Box 66956- 00200, Nairobi",Nairobi
20,Ekerubo Gietai Technical,"P.O. Box 382- 40500, Nyamira",Nyamira
21, ,"P.O. Box 4461 – 30100, Eldoret",Eldoret
22, ,"P.O. Box 956- 60100,Embu",Embu
23,Emining Technical Training,"P. O Box 208- 20105, Mogotio",Baringo
24,Emsos Technical Training,"P.O. Box 300- 30100, Eldoret",Eldoret
25,Endebess Technical,"P.O. Box 190, Trans-Nzoia",Trans-Nzoia
26, ,"P.O. Box 150- 50309, Tiriki",Tiriki
27,Gatanga Technical and,"P.O. Box 6232- 001000, Thika",Thika
28,Gitwebe Technical Training,"P.O. Box 64- 60204, Nyamira",Nyamira
29,Godoma Technical Training,"P.O. Box 1808- 80108, Kilifi",Kilifi
30,Institute of Energy Studies,"P.O. Box 3009- 00100, Nairobi",Nairobi
31,Jeremiah Nyagah Technical,"P.O. Box 1264 – 60100, Embu",Embu
32, ,"P.O. Box 29010 – 00625, Nairobi",Nairobi
33,Kaiboi Technical Training,"P.O. Box 937 – 30100, Eldoret",Eldoret
34,Kajiado west Technical and,"P.O. Box 1085- 00208, Ngon’g",Kajiado
35,Kapcherop Technical,"P.O. Box 70- 30204, Kapcherop",Kapcherop
36,Karen Technical Training,"P.O. Box 24785 – 00502, Nairobi",Nairobi
37,Karumo Technical Training,"P.O. Box 276- 60602 , Meru",Meru
38,Kasarani Technical and,"P.O. Box 51898- 00200, Nairobi",Nairobi
39,Katine Technical Training,"P.O. Box 251- 90131, Tala",Machakos
40,Kenya Coast National,"P.O. Box 81220 – 80100, Mombasa",Mombasa
41,Kenya Institute of Mass,P.O. Box 42422 –,Nairobi
42,Communication,"00100, Nairobi",
43,Kenya School of Revenue,"P.O. Box 48240- 00100, Nairobi",Nairobi
44,Kenya Technical Trainers,"P.O. Box 44600, Nairobi",Nairobi
45,Kenya Wildlife Service,"P.O. Box 842- 20117,Naivasha",Naivasha
46,Keroka Technical Training,"P.O. Box 440- 40202, Keroka",Keroka
47,Kiambu Institute of,"P.O. Box 414 – 00900, Kiambu",Kiambu
48,Kiirua Technical Training,"P.O. Box 1931- 60200, Meru",Meru
49,Kipipiri Technical and,"P.O. Box 438- 20303, Nyahururu",Nyahururu
50,Kipkabus Technical and,"P. O BOX 10882- 30100, Eldoret",Eldoret
51,Kipsinende Technical and,"P.O. Box 28- 20209, Fort Ternan",Fort Ternan
52, ,"P.O. Box 222, Kisii",Kisii
53,Kisiwa Technical Training,"P.O. Box 648 – 50200, Bungoma",Bungoma
54,Kisumu National,"P.O. Box 143 – 40100, Kisumu",Kisumu
55, ,"P.O. Box 2162 – 30200, Kitale",Kitale
56,KITI Nakuru,"P.O. Box 280- 20100, Nakuru",Nakuru
57,Konoin Technical Training,"P.O. Box 19, Mogogosiek",Mogogosiek
58,Koshin Technical Training,"P.O. Box 4040- 30100, Eldoret",Uasin Gishu
59,Laikipia East Technical and,P.0. Box 14-10129 Mugunda,Mugunda
60,Laikipia North Technical and Vocational College,"P.O. Box50- 20321, Rumuruti",Laikipia
61,Laisamis Technical and,"P.O Box 30-60500, Marsabit",Marsabit
62,Maasai Mara Technical and,"P.O. Box 577- 20500, Narok",Narok
63,Mabati Technical Training,P.O Box 590-80113 Mariakani,Mariakani
64,Machakos Technical,"P.O. box 112 – 90100, Machakos","Machakos,"
65,Mandera Technical,"P.O. Box 257- 70300, Mandera",Mandera
66,Masai Technical Training,"P.O. Box 125 – 01100, Kajiado",Kajiado
67, ,"P.O. Box 190- 50100, Kakamega",Kakamega
68, ,P.O Box 181-90141 Masinga,Masinga
69, ,"P.O. Box 665- 10106, Othaya",Othaya
70,Mathioya Technical and,"P.O. Box 363- 10204, Kiria-ini",Muranga
71,Mathira Technical and,Box 1785 – 10101 Karatina,Karatina
72,Matili technical Training,"P.O. Box 76, Kimilili",Kimilili
73,Mawego Technical Training,"P.O. Box 289 – 40222, Oyugis",Oyugis
74, ,"P.O. Box 111 – 60200, Meru",Meru
75,Michuki Technical Training,"P.O. Box 4, Kangema","Kangema,"
76,Mitunguu Technical,"P.O. Box 64- 60204, Mitunguu",Meru
77,Moiben Technical and,"P.O. Box 10715- 30100, Eldoret",Eldoret
78,Mukiria Technical Training,"P.O. Box 1093- 60200, Meru",Meru
79, ,"P.O. Box 23- 00103, Mukurwe- ini",Nyeri
80,Mumias West Technical and Vocational College,"P.O. Box 571- 50102, Mumias",Mumias
81,Muraga Technical Training,"P.O. Box 614- 60400, Chuka",Meru
82,Musakasa Technical,"P.O. Box 1249- 50200, Bungoma",Bungoma
83,Nachu Technical and,"P. O. Box 1455- 00902,Kikuyu",Kikuyu
84,Nairobi Institute of,"P.O. Box 49962- 00100, Nairobi",Nairobi
85,Nairobi Technical Training,"P.O. Box 30039 – 00100, Nairobi",Nairobi
86,Naivasha Technical and,P.O. Box 574- Naivasha,Naivasha
87,Narok West Technical,"P. O. BOX 1150 – 20500, Narok",Narok
88,Ndia Technical and,"P.O. Box 4-10230, Sagana",Sagana
89, ,P.O. Box 42- 00204 Athi River,"Athi River, Kenya"
90,Nkabune Technical,"P.O. Box 330 – 60200, Meru",Meru
91, ,"P.O. Box 329- 70100, Garissa",Garissa
92, ,"P.O. Box 376- 90400, Mwingi",Kitui
93, ,"P.O. Box 2033, Nyahururu",Nyahururu
94, ,"P.O. Box 45 – 10100, Nyeri",Nyeri
95,Okame Technical and,"P.O. Box 116- 504000, Busia",Busia
96,Ol’lessos Technical,"P.O. Box 210, Lesos",Lesos
97, ,"P.O. Box 10100, Nyeri",Nyeri
98,P.C. Kinyanjui Technical,"P.O. Box 21280 – 00505, Nairobi",Nairobi
99, ,"P.O. Box 4226 – 00100, Nairobi",Nairobi
100,Ramogi Institute of,"P.O. Box 1738 – 40100, Kisumu",Kisumu
101,Regional Centre for Mapping of Resources for Development,"P.O. Box 632 – 00618, Nairobi",Nairobi
102,Rift Valley Institute of,"P.O. Box 7182 – 20100, Nakuru",Nakuru
103, ,"P.O. Box 244 – 30100, Eldoret",Eldoret
104,Runyenjes Technical,"P.O Box 239- 60103, Runyenjes",Runyenjes
105, ,"P.O. Box 29- 50311, Wodanga",Wodanga
106, ,P.O. Box 158 - Bungoma,Bungoma
107,Shamberere technical,P.O. Box 1316 –,"Kakamega,"
108,Training Institute,"50100, Kakamega",
109,Siala Technical Training,"P.O. Box 164- 40404, Rongo",Rongo
110,Siaya Institute of Science,"P.O. Box I087, Siaya, 40600",Siaya
111,Sigalagala National,"P.O. Box 2966 – 50100, Kakamega","Kakamega,"
112,SOS Technical Training,"P.O. Box 40653- 00100, Nairobi",Nairobi
113,SOT Technical Training,"P.O. Box 665- 20400, Bomet",Bomet
114,Sotik Technical Training,"P.O. Box 895- 20406, Sotik",Sotik
115,St. Joseph Technical Training Institute for the Deaf (Nyangoma),"P.O. Box 33- 40601, Bondo",Homabay
116,Tharaka Technical and,"P.O. Box 5160215, Marimanti",Marimanti
117,Thika Technical Training,"P.O. Box 91,01000, Thika",Thika
118, ,"P.O. Box 754- 40100,Kisumu",Kisumu
119,Tseikuru Technical,"P.O. Box 753- 90400, Mwingi",Kitui
120,Ugenya Technical and,"P.O. Box 74- 40614, Sega",Sega
121,VTC Sikri Technical Training Institute for the Blind & Deaf,"P.O. Box 194- 40222, Oyugis",Homabay
122,Weru Technical and,"P.O. Box 5227- 80200, Malindi",Malindi
123, ,"P.O. Box 377 – 90300, Makueni","Makueni, Kenya"
124,Ziwa Technical Training,"P.O. Box 1055- 30100, Eldoret",Uasin Gishu
